,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
168,9,14065,14071,58814.0,57828.1,-8873.100000000013,-0.016763015608528553,14065,14071,6
169,9,14166,14193,57050.8,58441.63,12517.46999999995,0.024378799245584615,14166,14193,27
170,9,14274,14284,57075.29,56472.06,-5429.070000000029,-0.010569022075928136,14274,14284,10
171,10,14376,14430,49400.0,43717.94,-56820.59999999998,-0.11502145748987846,14376,14430,54
172,11,14476,14504,40458.36,36818.53,-40038.13000000002,-0.08996484286560313,14476,14504,28
173,11,14524,14623,38137.97,39151.71,11151.139999999978,0.02658085891829054,14524,14623,99
174,12,14717,14859,35556.01,36443.26,10647.0,0.024953587311962178,14717,14859,142
175,12,14961,14978,36466.62,37404.26,11251.679999999993,0.025712281533084136,14961,14978,17
176,13,15028,15045,35572.49,35165.94,-5285.149999999943,-0.011428775438548033,15028,15045,17
177,12,15058,15098,37266.56,40077.35,33729.48000000001,0.07542391892356037,15058,15098,40
178,12,15144,15155,39198.03,37730.01,-17616.23999999996,-0.037451371918435616,15144,15155,11
179,12,15160,15220,38060.71,33856.01,-50456.399999999965,-0.11047350404130651,15160,15220,60
180,12,15282,15361,33979.47,30381.27,-43178.40000000001,-0.10589335266265187,15282,15361,79
181,11,15400,15453,34687.71,34761.78,814.7699999999968,0.0021353384238971262,15400,15453,53
182,11,15529,15558,34493.8,35341.3,9322.5,0.02456963280357627,15529,15558,29
183,11,15567,15581,35357.24,33455.37,-20920.56999999995,-0.05379011483928031,15567,15581,14
184,10,15588,15639,34098.7,34155.0,563.0000000000291,0.001651089337716849,15588,15639,51
185,11,15679,15747,33507.46,33764.63,2828.869999999981,0.00767500729688253,15679,15747,68
186,11,15795,15820,32410.01,31866.95,-5973.659999999974,-0.0167559343548489,15795,15820,25
187,12,15958,16178,30651.08,38775.01,97487.16,0.2650454731122036,15958,16178,220
188,11,16189,16240,40689.51,39846.78,-9270.030000000035,-0.020711234910422927,16189,16240,51
189,11,16248,16261,40097.47,38841.65,-13814.019999999997,-0.03131918298087133,16248,16261,13
190,11,16302,16320,38985.01,38889.07,-1055.3400000000256,-0.0024609458866370337,16302,16320,18
191,11,16328,16338,38721.79,40600.8,20669.110000000022,0.04852590750582553,16328,16338,10
192,10,16353,16480,42506.87,45522.13,30152.599999999948,0.07093582754975825,16353,16480,127
193,10,16518,16540,46518.01,46579.99,619.7999999999593,0.0013323871764934214,16518,16540,22
194,10,16674,16681,47211.82,46933.45,-2783.700000000026,-0.005896192944902401,16674,16681,7
195,10,16687,16736,48600.01,48550.0,-500.1000000000204,-0.0010290121339481262,16687,16736,49
196,10,16799,16901,48325.01,48385.97,609.5999999999913,0.0012614586111829862,16799,16901,102
197,10,16912,16926,48795.42,47809.69,-9857.29999999996,-0.0202012811858161,16912,16926,14
198,10,16945,17030,47764.01,50284.2,25201.89999999995,0.05276336722984509,16945,17030,85
199,9,17078,17093,51760.07,51394.91,-3286.439999999966,-0.007054859083459486,17078,17093,15
200,10,17166,17192,46876.23,45441.5,-14347.300000000032,-0.03060677021168301,17166,17192,26
201,10,17218,17246,45637.0,45294.63,-3423.700000000026,-0.007502026864167344,17218,17246,28
202,11,17263,17302,43949.99,46900.0,32450.110000000022,0.06712197204140447,17263,17302,39
